% Glass Activity Database

@RELATION activity 

@ATTRIBUTE mean NUMERIC
@ATTRIBUTE std NUMERIC
@ATTRIBUTE rms NUMERIC
@ATTRIBUTE xmean NUMERIC
@ATTRIBUTE xstd NUMERIC
@ATTRIBUTE xrms NUMERIC
@ATTRIBUTE ymean NUMERIC
@ATTRIBUTE ystd NUMERIC
@ATTRIBUTE yrms NUMERIC
@ATTRIBUTE zmean NUMERIC
@ATTRIBUTE zstd NUMERIC
@ATTRIBUTE zrms NUMERIC
@ATTRIBUTE class {sitting,standing,walking,running,driving}

@DATA
 9.7968,  0.0622,  9.7970,  0.7314,  0.0629,  0.7341,  9.5194,  0.0613,  9.5196,  2.1932,  0.0908,  2.1951, sitting
 9.7953,  0.0613,  9.7955,  0.6954,  0.0886,  0.7010,  9.4970,  0.0635,  9.4972,  2.2911,  0.1194,  2.2942, sitting
 9.7945,  0.0514,  9.7947,  0.6512,  0.0772,  0.6557,  9.5017,  0.0573,  9.5019,  2.2821,  0.1052,  2.2845, sitting
 9.7948,  0.0490,  9.7949,  0.6271,  0.0512,  0.6292,  9.5311,  0.0508,  9.5312,  2.1671,  0.0603,  2.1679, sitting
 9.7948,  0.0514,  9.7950,  0.6193,  0.0537,  0.6216,  9.5362,  0.0527,  9.5363,  2.1474,  0.0464,  2.1479, sitting
 9.7944,  0.0564,  9.7945,  0.6192,  0.0750,  0.6237,  9.5243,  0.0577,  9.5245,  2.1959,  0.0769,  2.1973, sitting
 9.7925,  0.0522,  9.7926,  0.6324,  0.0848,  0.6380,  9.4807,  0.0664,  9.4809,  2.3610,  0.1641,  2.3667, sitting
 9.7918,  0.0526,  9.7919,  0.6894,  0.1075,  0.6977,  9.4830,  0.0748,  9.4833,  2.3267,  0.2190,  2.3370, sitting
 9.7919,  0.0572,  9.7921,  0.7702,  0.1078,  0.7777,  9.5283,  0.0666,  9.5286,  2.1104,  0.1799,  2.1181, sitting
 9.7923,  0.0733,  9.7926,  0.8312,  0.0962,  0.8368,  9.5308,  0.0764,  9.5311,  2.0818,  0.1398,  2.0864, sitting
 9.7927,  0.0766,  9.7930,  0.8469,  0.1039,  0.8532,  9.5223,  0.0808,  9.5226,  2.1170,  0.1161,  2.1202, sitting
 9.7918,  0.0594,  9.7920,  0.8564,  0.0883,  0.8610,  9.4975,  0.0669,  9.4977,  2.2173,  0.1399,  2.2217, sitting
 9.7908,  0.0686,  9.7910,  0.8948,  0.0971,  0.9001,  9.4785,  0.0669,  9.4787,  2.2796,  0.1056,  2.2821, sitting
 9.7903,  0.0748,  9.7906,  1.0075,  0.1584,  1.0198,  9.5050,  0.0761,  9.5053,  2.1038,  0.1970,  2.1130, sitting
 9.7894,  0.0648,  9.7896,  0.9927,  0.1716,  1.0074,  9.5245,  0.0669,  9.5248,  2.0177,  0.1719,  2.0250, sitting
 9.7891,  0.0555,  9.7893,  0.8435,  0.1084,  0.8504,  9.5114,  0.0672,  9.5117,  2.1431,  0.2047,  2.1529, sitting
 9.7886,  0.0495,  9.7887,  0.8318,  0.1212,  0.8405,  9.4911,  0.0605,  9.4913,  2.2367,  0.1593,  2.2423, sitting
 9.7880,  0.0566,  9.7881,  1.0105,  0.1886,  1.0279,  9.4805,  0.0570,  9.4806,  2.2043,  0.0963,  2.2064, sitting
 9.7875,  0.0597,  9.7876,  1.0512,  0.1706,  1.0650,  9.4901,  0.0618,  9.4903,  2.1436,  0.0527,  2.1442, sitting
 9.7867,  0.0589,  9.7869,  0.8598,  0.1669,  0.8758,  9.5087,  0.0615,  9.5089,  2.1431,  0.0599,  2.1439, sitting
 9.7881,  0.0592,  9.7883,  0.8338,  0.0954,  0.8392,  9.5140,  0.0607,  9.5142,  2.1407,  0.0617,  2.1416, sitting
 9.7903,  0.0759,  9.7905,  0.9101,  0.0824,  0.9138,  9.5087,  0.0763,  9.5090,  2.1431,  0.0757,  2.1444, sitting
 9.7885,  0.0775,  9.7888,  0.9652,  0.1211,  0.9727,  9.5369,  0.0857,  9.5373,  1.9678,  0.2074,  1.9786, sitting
 9.7861,  0.0595,  9.7863,  0.8246,  0.2093,  0.8507,  9.5617,  0.0630,  9.5619,  1.8960,  0.1541,  1.9023, sitting
 9.7852,  0.0664,  9.7854,  0.7758,  0.1933,  0.7995,  9.5214,  0.0840,  9.5218,  2.1013,  0.1902,  2.1099, sitting
 9.7867,  0.0730,  9.7869,  0.8799,  0.1760,  0.8973,  9.4797,  0.0839,  9.4801,  2.2541,  0.1608,  2.2598, sitting
 9.7861,  0.0674,  9.7863,  0.8713,  0.1475,  0.8837,  9.5052,  0.0778,  9.5055,  2.1425,  0.2130,  2.1530, sitting
 9.7839,  0.0617,  9.7841,  0.8626,  0.1031,  0.8687,  9.5105,  0.0701,  9.5107,  2.1172,  0.1924,  2.1259, sitting
 9.7838,  0.0653,  9.7840,  0.8081,  0.0838,  0.8124,  9.4873,  0.0656,  9.4875,  2.2468,  0.0719,  2.2479, sitting
 9.7843,  0.0781,  9.7846,  0.7522,  0.0936,  0.7580,  9.4980,  0.0768,  9.4983,  2.2227,  0.0813,  2.2241, sitting
 9.7855,  0.0900,  9.7859,  0.8141,  0.1588,  0.8295,  9.5498,  0.1104,  9.5504,  1.9160,  0.4414,  1.9661, sitting
 9.7855,  0.0840,  9.7859,  0.8947,  0.1349,  0.9048,  9.5896,  0.1059,  9.5902,  1.6708,  0.4261,  1.7242, sitting
